actor,sentence,emotion,mean_cosine,min_cosine
2,7,sarcastic,0.82656044,0.7590355
2,8,sarcastic,0.82708836,0.70532316
2,9,sarcastic,0.84243864,0.7884911
2,10,sarcastic,0.8302677,0.74264073
2,1,surprise,0.82669544,0.7684736
2,2,surprise,0.8238466,0.76155555
2,3,surprise,0.8481947,0.758192
2,4,surprise,0.86672527,0.7527531
2,5,surprise,0.87061936,0.81041694
2,6,surprise,0.87964725,0.72512263
2,7,surprise,0.85990524,0.7655945
2,8,surprise,0.85308486,0.64604074
2,9,surprise,0.858344,0.8136748
2,10,surprise,0.81322813,0.70490664
3,1,anger,0.77968246,0.6596436
3,2,anger,0.78058475,0.6811173
3,3,anger,0.8317486,0.79027456
3,4,anger,0.76444405,0.71548
3,5,anger,0.7777674,0.68772477
3,6,anger,0.76181495,0.64954185
3,7,anger,0.79691446,0.66148233
3,8,anger,0.8192032,0.73769915
3,9,anger,0.83610296,0.70970064
3,10,anger,0.7862819,0.7247638
3,1,disgust,0.8153911,0.7194208
3,2,disgust,0.78497666,0.7417519
3,3,disgust,0.8044941,0.69782865
3,4,disgust,0.8031072,0.63558835
3,5,disgust,0.83337694,0.7969401
3,6,disgust,0.7762869,0.71194714
3,7,disgust,0.8084211,0.71029264
3,8,disgust,0.78882015,0.7198571
3,9,disgust,0.7991837,0.7393535
3,10,disgust,0.7668748,0.66593236
3,1,fear,0.7940303,0.73101157
3,2,fear,0.801505,0.6601477
3,3,fear,0.7886929,0.72662574
3,4,fear,0.77976644,0.7233398
3,5,fear,0.76744354,0.66672593
3,6,fear,0.79052144,0.70789075
3,7,fear,0.81103295,0.75433767
3,8,fear,0.7598861,0.67476016
3,9,fear,0.78666896,0.70211697
3,10,fear,0.8170538,0.74208075
3,1,happy,0.82594377,0.74794465
3,2,happy,0.78212655,0.7075621
3,3,happy,0.81593937,0.72967964
3,4,happy,0.78461254,0.6678692
3,5,happy,0.8170382,0.73576665
3,6,happy,0.76035964,0.65513366
3,7,happy,0.79679185,0.66521984
3,8,happy,0.8065538,0.68637544
3,9,happy,0.7905045,0.6812337
3,10,happy,0.80043954,0.72235894
3,1,neutral,0.79460484,0.7088939
3,2,neutral,0.8093219,0.70000374
3,3,neutral,0.80346197,0.72033805
3,4,neutral,0.78867614,0.6804331
3,5,neutral,0.7681113,0.70383525
3,6,neutral,0.79094285,0.67144734
3,7,neutral,0.80856323,0.6911824
3,8,neutral,0.77052355,0.705743
3,9,neutral,0.80305314,0.7286383
3,10,neutral,0.7789722,0.71482277
3,1,sad,0.75123376,0.65276265
3,2,sad,0.7914151,0.690412
3,3,sad,0.79895675,0.68539035
3,4,sad,0.8008959,0.6729807
3,5,sad,0.77762663,0.6977734
3,6,sad,0.7825835,0.69941777
3,7,sad,0.79399085,0.7241811
3,8,sad,0.77110475,0.69362277
3,9,sad,0.804394,0.74401003
3,10,sad,0.79071665,0.7529945
3,1,sarcastic,0.7668539,0.7064121
3,2,sarcastic,0.7920669,0.725012
3,3,sarcastic,0.7934855,0.70725363
3,4,sarcastic,0.7890734,0.63820225
3,5,sarcastic,0.7989198,0.7258501
3,6,sarcastic,0.81762815,0.743943
3,7,sarcastic,0.8026997,0.73975426
3,8,sarcastic,0.79356253,0.67716414
3,9,sarcastic,0.7636627,0.69860095
3,10,sarcastic,0.80283564,0.70690805
3,1,surprise,0.80270845,0.70864606
3,2,surprise,0.8085769,0.7610161
3,3,surprise,0.7876632,0.6630462
3,4,surprise,0.7654751,0.6471988
3,5,surprise,0.7891906,0.71998227
3,6,surprise,0.77238077,0.7189096
3,7,surprise,0.78884023,0.71911097
3,8,surprise,0.77491206,0.690333
3,9,surprise,0.7967052,0.73055524
3,10,surprise,0.7862314,0.601468
4,1,anger,0.8353123,0.7671646
4,2,anger,0.84956723,0.7575534
4,3,anger,0.8213622,0.73805976
4,4,anger,0.8359793,0.70401394
4,5,anger,0.82691365,0.7399189
4,6,anger,0.805529,0.7097478
4,7,anger,0.81401676,0.7124826
4,8,anger,0.8607537,0.6582504
4,9,anger,0.83293,0.716211
4,10,anger,0.8127278,0.73421806
4,1,disgust,0.76825315,0.7276299
4,2,disgust,0.7667195,0.6543501
4,3,disgust,0.74534976,0.70604265
4,4,disgust,0.75071937,0.6377126
4,5,disgust,0.79974073,0.72943026
4,6,disgust,0.75376177,0.6540867
4,7,disgust,0.8046934,0.748692
4,8,disgust,0.7903288,0.7216016
4,9,disgust,0.8438482,0.75535023
4,10,disgust,0.73494893,0.66134703
4,1,fear,0.74978006,0.6870425
4,2,fear,0.7354528,0.66998243
4,3,fear,0.75799674,0.7100822
4,4,fear,0.71212083,0.60452586
4,5,fear,0.74713665,0.64654195
4,6,fear,0.74280417,0.6667879
4,7,fear,0.71446383,0.63656664
4,8,fear,0.7462259,0.62999046
4,9,fear,0.7738307,0.62357455
4,10,fear,0.75300074,0.7166046
4,1,happy,0.78467697,0.6960572
4,2,happy,0.7903161,0.72549146
4,3,happy,0.83567375,0.74509615
4,4,happy,0.7978143,0.6770974
4,5,happy,0.76651406,0.65690386
4,6,happy,0.81360906,0.68794465
4,7,happy,0.79347324,0.6775694
4,8,happy,0.7864109,0.6752539
4,9,happy,0.8341193,0.7470713
4,10,happy,0.8227644,0.7349139
4,1,neutral,0.7964535,0.66404706
4,2,neutral,0.7992365,0.7404787
4,3,neutral,0.80982435,0.67650247
4,4,neutral,0.7947815,0.6710215
4,5,neutral,0.78241026,0.6297553
4,6,neutral,0.84579575,0.7180789
4,7,neutral,0.8156093,0.699487
4,8,neutral,0.76625526,0.6255411
4,9,neutral,0.7911884,0.7067229
4,10,neutral,0.7923349,0.65290034
4,1,sad,0.75292414,0.67748886
4,2,sad,0.7789605,0.673982
4,3,sad,0.7935064,0.730349
4,4,sad,0.8005577,0.7152312
4,5,sad,0.8041541,0.7454426
4,6,sad,0.82196206,0.766476
4,7,sad,0.8083775,0.670993
4,8,sad,0.82138526,0.76167375
4,9,sad,0.8172554,0.6719903
4,10,sad,0.77556884,0.7043872
4,1,sarcastic,0.81383294,0.723145
4,2,sarcastic,0.80476344,0.7318879
4,3,sarcastic,0.7896084,0.7077159
4,4,sarcastic,0.82073027,0.7610315
4,5,sarcastic,0.83889544,0.74982446
4,6,sarcastic,0.7949595,0.7183142
4,7,sarcastic,0.78293484,0.69256526
4,8,sarcastic,0.8270394,0.76394665
4,9,sarcastic,0.81663287,0.6957279
4,10,sarcastic,0.764222,0.6747786
4,1,surprise,0.7829325,0.6832614
4,2,surprise,0.81555706,0.6833144
4,3,surprise,0.8087195,0.7397937
4,4,surprise,0.7689892,0.67086244
4,5,surprise,0.804382,0.67645246
4,6,surprise,0.8201845,0.69848555
4,7,surprise,0.77280265,0.7067283
4,8,surprise,0.784268,0.6462119
4,9,surprise,0.81903994,0.65837675
4,10,surprise,0.8058401,0.71403265
5,1,anger,0.8298263,0.67996037
5,2,anger,0.80683535,0.76353824
5,3,anger,0.76520884,0.5846402
5,4,anger,0.7812968,0.6478581
5,5,anger,0.8567442,0.77898324
5,6,anger,0.83992416,0.6815656
5,7,anger,0.82510394,0.7207192
5,8,anger,0.8292816,0.76086694
5,9,anger,0.78627264,0.7075578
5,10,anger,0.805438,0.6872113
5,1,disgust,0.7891667,0.68158185
5,2,disgust,0.7965709,0.64980996
5,3,disgust,0.7993558,0.7415905
5,4,disgust,0.81118876,0.7191125
5,5,disgust,0.79830533,0.6969239
5,6,disgust,0.78380156,0.7079894
5,7,disgust,0.7672346,0.64278287
5,8,disgust,0.81021523,0.7211819
5,9,disgust,0.80293995,0.72183484
5,10,disgust,0.7680411,0.69995403
5,1,fear,0.7968298,0.74509424
5,2,fear,0.7749987,0.66270924
5,3,fear,0.8001585,0.68753546
5,4,fear,0.7852478,0.7216773
5,5,fear,0.8095478,0.7518262
5,6,fear,0.87277573,0.74383533
5,7,fear,0.79863024,0.63869107
5,8,fear,0.8102076,0.7652655
5,9,fear,0.8343549,0.68284744
5,10,fear,0.8053107,0.68619215
5,1,happy,0.7778684,0.71013707
5,2,happy,0.8176251,0.75516284
5,3,happy,0.78992856,0.6778556
5,4,happy,0.80662376,0.72334623
5,5,happy,0.830901,0.7837887
5,6,happy,0.8217654,0.75287366
5,7,happy,0.7700123,0.6465211
5,8,happy,0.807528,0.7126056
5,9,happy,0.84580386,0.76574534
5,10,happy,0.8318801,0.7972006
5,1,neutral,0.78003216,0.67623115
5,2,neutral,0.76596504,0.68604344
5,3,neutral,0.82408065,0.7754765
5,4,neutral,0.77957755,0.68854004
5,5,neutral,0.8296396,0.79353654
5,6,neutral,0.82914823,0.7807166
5,7,neutral,0.7643678,0.69579685
5,8,neutral,0.81879026,0.698669
5,9,neutral,0.74542326,0.63796085
5,10,neutral,0.8683255,0.7675772
5,1,sad,0.8008465,0.6526183
5,2,sad,0.79641783,0.68855155
5,3,sad,0.8107304,0.6016471
5,4,sad,0.77239573,0.6554135
5,5,sad,0.7596878,0.68720955
5,6,sad,0.8504677,0.7432204
5,7,sad,0.7812667,0.59497684
5,8,sad,0.774534,0.62410104
5,9,sad,0.7552945,0.6026258
5,10,sad,0.8132035,0.6920553
5,1,sarcastic,0.778465,0.6294186
5,2,sarcastic,0.74915403,0.64816463
5,3,sarcastic,0.79406685,0.76219827
5,4,sarcastic,0.7917984,0.6744312
5,5,sarcastic,0.7950025,0.7270397
5,6,sarcastic,0.82981396,0.7732623
5,7,sarcastic,0.7990501,0.72964853
5,8,sarcastic,0.7970986,0.6856214
5,9,sarcastic,0.77541125,0.6744855
5,10,sarcastic,0.80906993,0.67503023
5,1,surprise,0.8052701,0.59357923
5,2,surprise,0.7647923,0.64242923
5,3,surprise,0.7821567,0.68803346
5,4,surprise,0.7442966,0.63784367
5,5,surprise,0.7859357,0.69440114
5,6,surprise,0.77678967,0.67663056
5,7,surprise,0.7701453,0.6409755
5,8,surprise,0.7905739,0.67205197
5,9,surprise,0.81361026,0.7803519
5,10,surprise,0.7778406,0.6423243
6,1,anger,0.8060033,0.7415985
6,2,anger,0.82646793,0.74669194
6,3,anger,0.8176774,0.73755217
6,4,anger,0.8070834,0.6822689
6,5,anger,0.852897,0.7715719
6,6,anger,0.80801976,0.7277615
6,7,anger,0.8237496,0.67649716
6,8,anger,0.81813633,0.75461566
6,9,anger,0.81590694,0.69484335
6,10,anger,0.77196944,0.6645435
6,1,disgust,0.81065166,0.7238733
6,2,disgust,0.8428714,0.7241938
6,3,disgust,0.8326833,0.7789671
6,4,disgust,0.7756271,0.71826684
6,5,disgust,0.8262514,0.6157572
6,6,disgust,0.85392934,0.7252885
6,7,disgust,0.7993407,0.6686674
6,8,disgust,0.7995069,0.6543482
6,9,disgust,0.79943585,0.66759807
6,10,disgust,0.8046861,0.68879086
6,1,fear,0.8346024,0.76465505
6,2,fear,0.82819974,0.67289937
6,3,fear,0.82359195,0.7236173
6,4,fear,0.8069024,0.6322953
6,5,fear,0.8457551,0.6783259
6,6,fear,0.8586455,0.7809413
6,7,fear,0.8433932,0.7756231
6,8,fear,0.81241477,0.6079557
6,9,fear,0.8073357,0.5800017
6,10,fear,0.82677007,0.6746251
6,1,happy,0.8309433,0.7382842
6,2,happy,0.8175068,0.6975496
6,3,happy,0.85583615,0.716117
6,4,happy,0.7890147,0.70497
6,5,happy,0.8109174,0.6911804
6,6,happy,0.8286259,0.7258232
6,7,happy,0.783912,0.6939635
6,8,happy,0.8155762,0.73614454
6,9,happy,0.8310151,0.7711921
6,10,happy,0.7929051,0.7336299
6,1,neutral,0.8003126,0.6940995
6,2,neutral,0.82338494,0.63292223
6,3,neutral,0.8008395,0.71470803
6,4,neutral,0.86595416,0.79928184
6,5,neutral,0.84728646,0.6586363
6,6,neutral,0.87761086,0.68993366
6,7,neutral,0.8055824,0.7293984
6,8,neutral,0.8034708,0.6903855
6,9,neutral,0.77933484,0.65252835
6,10,neutral,0.79787093,0.73763376
6,1,sad,0.7502796,0.6542552
6,2,sad,0.8147796,0.7197477
6,3,sad,0.81163305,0.7522101
6,4,sad,0.7877671,0.7546507
6,5,sad,0.8176966,0.7589736
6,6,sad,0.80019665,0.7204753
6,7,sad,0.7716292,0.66054964
6,8,sad,0.83878285,0.75529516
6,9,sad,0.794942,0.59616905
6,10,sad,0.77912235,0.7196724
6,1,sarcastic,0.82949626,0.6311788
6,2,sarcastic,0.7996533,0.7134465
6,3,sarcastic,0.81194425,0.69933283
6,4,sarcastic,0.8202048,0.7503333
6,5,sarcastic,0.8544559,0.7786765
6,6,sarcastic,0.8338509,0.779465
6,7,sarcastic,0.8089649,0.6445033
6,8,sarcastic,0.8052358,0.59128815
6,9,sarcastic,0.82118654,0.65760344
6,10,sarcastic,0.8214238,0.68299854
6,1,surprise,0.85611767,0.6968231
6,2,surprise,0.8016066,0.6559444
6,3,surprise,0.83421785,0.7092894
6,4,surprise,0.7885828,0.6505031
6,5,surprise,0.84197825,0.807475
6,6,surprise,0.8302576,0.7307627
6,7,surprise,0.82319844,0.70286375
6,8,surprise,0.84084314,0.79908615
6,9,surprise,0.8528313,0.6984149
6,10,surprise,0.8277721,0.6957114
7,1,anger,0.82284397,0.7383868
7,2,anger,0.84717053,0.7084829
7,3,anger,0.8435251,0.71406406
7,4,anger,0.7895141,0.6800196
7,5,anger,0.80545855,0.6378538
7,6,anger,0.79186726,0.70158154
7,7,anger,0.7839792,0.65251553
7,8,anger,0.8332161,0.73327154
7,9,anger,0.8352004,0.79432285
7,10,anger,0.80120265,0.6749029
7,1,disgust,0.83152443,0.6966861
7,2,disgust,0.7932865,0.67176974
7,3,disgust,0.8754784,0.7931214
7,4,disgust,0.8269308,0.7582984
7,5,disgust,0.7912667,0.6297853
7,6,disgust,0.8574826,0.64038885
7,7,disgust,0.8291628,0.63509923
7,8,disgust,0.85748655,0.8145068
7,9,disgust,0.82134116,0.7581828
7,10,disgust,0.79745895,0.72219706
7,1,fear,0.78666675,0.7349079
7,2,fear,0.79574215,0.68137264
7,3,fear,0.8536212,0.7375752
7,4,fear,0.8687506,0.73939615
7,5,fear,0.840874,0.729145
7,6,fear,0.8528753,0.6551312
7,7,fear,0.8383449,0.7541127
7,8,fear,0.8641756,0.73560876
7,9,fear,0.86537284,0.8054887
7,10,fear,0.8154026,0.68922824
7,1,happy,0.83454007,0.72064435
7,2,happy,0.82639486,0.66663134
7,3,happy,0.8092122,0.6536
7,4,happy,0.79456115,0.73408747
7,5,happy,0.8442394,0.65838087
7,6,happy,0.81666726,0.741953
7,7,happy,0.7803029,0.587627
7,8,happy,0.8367135,0.6248344
7,9,happy,0.80327445,0.61377615
7,10,happy,0.77950764,0.6842607
7,1,neutral,0.8180356,0.7069285
7,2,neutral,0.7869317,0.69078374
7,3,neutral,0.8294763,0.6957688
7,4,neutral,0.8104775,0.6383426
7,5,neutral,0.82425284,0.76646227
7,6,neutral,0.85988754,0.7422044
7,7,neutral,0.8481375,0.7616317
7,8,neutral,0.7717592,0.6023222
7,9,neutral,0.82204366,0.61838126
7,10,neutral,0.8013691,0.64210564
7,1,sad,0.81809556,0.7519728
7,2,sad,0.7967831,0.7185325
7,3,sad,0.83392346,0.7176779
7,4,sad,0.80710316,0.61141455
7,5,sad,0.84232086,0.7762621
7,6,sad,0.86675316,0.7605459
7,7,sad,0.8573118,0.65988046
7,8,sad,0.8501139,0.7698061
7,9,sad,0.84038126,0.78791
7,10,sad,0.7825123,0.63081527
7,1,sarcastic,0.8620329,0.70266306
7,2,sarcastic,0.7947629,0.72536683
7,3,sarcastic,0.80469084,0.7288469
7,4,sarcastic,0.831017,0.74146384
7,5,sarcastic,0.8121748,0.74835634
7,6,sarcastic,0.81993747,0.7129261
7,7,sarcastic,0.8192518,0.7658553
7,8,sarcastic,0.82384247,0.688807
7,9,sarcastic,0.8279186,0.6364449
7,10,sarcastic,0.8003929,0.6806738
7,1,surprise,0.8357775,0.66739273
7,2,surprise,0.8315172,0.72489977
7,3,surprise,0.88232493,0.8125399
7,4,surprise,0.86273134,0.7871307
7,5,surprise,0.8465559,0.7918962
7,6,surprise,0.8557539,0.7216827
7,7,surprise,0.8356712,0.69662035
7,8,surprise,0.83673525,0.73281395
7,9,surprise,0.84514695,0.6603425
7,10,surprise,0.828024,0.65932506
8,1,anger,0.80076355,0.71474135
8,2,anger,0.82702696,0.7380952
8,3,anger,0.8077293,0.6953223
8,4,anger,0.8165797,0.7822952
8,5,anger,0.84260696,0.8117753
8,6,anger,0.8026209,0.72833645
8,7,anger,0.8258034,0.686041
8,8,anger,0.81689095,0.7378571
8,9,anger,0.83904356,0.7845706
8,10,anger,0.8710404,0.80073243
8,1,disgust,0.8144633,0.69958293
8,2,disgust,0.8203321,0.7234346
8,3,disgust,0.8482509,0.7967976
8,4,disgust,0.7943129,0.74590665
8,5,disgust,0.78122693,0.7039796
8,6,disgust,0.81135654,0.7379006
8,7,disgust,0.77159977,0.66395634
8,8,disgust,0.7764102,0.6761161
8,9,disgust,0.7991999,0.7216851
8,10,disgust,0.8021446,0.7268237
8,1,fear,0.8084225,0.71669155
8,2,fear,0.7923743,0.73369926
8,3,fear,0.8230666,0.7901038
8,4,fear,0.8087746,0.6956509
8,5,fear,0.7935631,0.712874
8,6,fear,0.8075782,0.7007913
8,7,fear,0.78769755,0.7223907
8,8,fear,0.8114239,0.69922537
8,9,fear,0.8397121,0.7666902
8,10,fear,0.798729,0.7332197
8,1,happy,0.79266053,0.73755884
8,2,happy,0.8137143,0.77106047
8,3,happy,0.80239105,0.7485735
8,4,happy,0.79970455,0.75420296
8,5,happy,0.8081211,0.71586597
8,6,happy,0.78906465,0.7158595
8,7,happy,0.7778288,0.7089561
8,8,happy,0.788463,0.71248287
8,9,happy,0.8000051,0.75631607
8,10,happy,0.78018725,0.7295683
8,1,neutral,0.8175124,0.7220538
8,2,neutral,0.8009817,0.760783
8,3,neutral,0.8228864,0.7764196
8,4,neutral,0.79706967,0.75557905
8,5,neutral,0.80508584,0.74785334
8,6,neutral,0.80001056,0.74738336
8,7,neutral,0.81318945,0.7409301
8,8,neutral,0.8064102,0.7328955
8,9,neutral,0.83309287,0.7697393
8,10,neutral,0.802792,0.716854
8,1,sad,0.8312665,0.78573936
8,2,sad,0.8223649,0.7500845
8,3,sad,0.8162097,0.7228665
8,4,sad,0.7858724,0.6754878
8,5,sad,0.8250202,0.7657555
8,6,sad,0.8053553,0.729319
8,7,sad,0.79826105,0.73472846
8,8,sad,0.81576127,0.7737053
8,9,sad,0.8350831,0.7783309
8,10,sad,0.79194504,0.70275223
8,1,sarcastic,0.8094604,0.7439004
8,2,sarcastic,0.81824845,0.7688358
8,3,sarcastic,0.78957,0.72992873
8,4,sarcastic,0.82284343,0.7408634
8,5,sarcastic,0.8132321,0.75915277
8,6,sarcastic,0.7984945,0.73802453
8,7,sarcastic,0.7974875,0.7091818
8,8,sarcastic,0.8289365,0.71169966
8,9,sarcastic,0.81801134,0.73806953
8,10,sarcastic,0.7684959,0.70627296
8,1,surprise,0.81245553,0.71769434
8,2,surprise,0.8253775,0.77640116
8,3,surprise,0.8095609,0.68728536
8,4,surprise,0.80026364,0.726631
8,5,surprise,0.79177755,0.69415516
8,6,surprise,0.82614076,0.786948
8,7,surprise,0.77919245,0.69185895
8,8,surprise,0.7871316,0.7249284
8,9,surprise,0.825058,0.7597462
8,10,surprise,0.77746224,0.71176577
