actor,sentence,emotion,mean_rms,n_decoded
4,10,anger,0.12697998,35
4,10,disgust,0.122798786,35
4,10,fear,0.12559423,35
4,10,happy,0.12440096,35
4,10,neutral,0.11982645,35
4,10,sad,0.13253671,35
4,10,sarcastic,0.12264536,35
4,10,surprise,0.11665625,35
5,1,anger,0.11774379,35
5,1,disgust,0.1018079,35
5,1,fear,0.12393039,35
5,1,happy,0.09433623,35
5,1,neutral,0.110402144,35
5,1,sad,0.10348672,35
5,1,sarcastic,0.09893736,35
5,1,surprise,0.09962766,35
5,2,anger,0.118955664,35
5,2,disgust,0.08484228,35
5,2,fear,0.09349807,35
5,2,happy,0.10144205,35
5,2,neutral,0.09883114,35
5,2,sad,0.09681525,35
5,2,sarcastic,0.096211635,35
5,2,surprise,0.10095251,35
5,3,anger,0.1129372,35
5,3,disgust,0.10100698,35
5,3,fear,0.123933114,35
5,3,happy,0.09913949,35
5,3,neutral,0.1107742,35
5,3,sad,0.123227,35
5,3,sarcastic,0.114127755,35
5,3,surprise,0.09809587,35
5,4,anger,0.103979535,35
5,4,disgust,0.10503684,35
5,4,fear,0.116051495,35
5,4,happy,0.10366236,35
5,4,neutral,0.11394186,35
5,4,sad,0.108530805,35
5,4,sarcastic,0.10807073,35
5,4,surprise,0.09590248,35
5,5,anger,0.11705532,35
5,5,disgust,0.10648474,35
5,5,fear,0.12983368,35
5,5,happy,0.11349142,35
5,5,neutral,0.115754865,35
5,5,sad,0.115392074,35
5,5,sarcastic,0.0956849,35
5,5,surprise,0.10260065,35
5,6,anger,0.12028602,35
5,6,disgust,0.114860274,35
5,6,fear,0.13098776,35
5,6,happy,0.12203557,35
5,6,neutral,0.11756221,35
5,6,sad,0.1229374,35
5,6,sarcastic,0.11623131,35
5,6,surprise,0.10785282,35
5,7,anger,0.110589065,35
5,7,disgust,0.097808026,35
5,7,fear,0.11962825,35
5,7,happy,0.112925954,35
5,7,neutral,0.12107558,35
5,7,sad,0.11424169,35
5,7,sarcastic,0.0990301,35
5,7,surprise,0.10063684,35
5,8,anger,0.11467773,35
5,8,disgust,0.114186615,35
5,8,fear,0.12903066,35
5,8,happy,0.108139895,35
5,8,neutral,0.120539136,35
5,8,sad,0.1340015,35
5,8,sarcastic,0.1126492,35
5,8,surprise,0.10674325,35
5,9,anger,0.106399514,35
5,9,disgust,0.10620791,35
5,9,fear,0.12679537,35
5,9,happy,0.11255834,35
5,9,neutral,0.11078559,35
5,9,sad,0.11557796,35
5,9,sarcastic,0.09732398,35
5,9,surprise,0.10612246,35
5,10,anger,0.10338733,35
5,10,disgust,0.09426894,35
5,10,fear,0.123510264,35
5,10,happy,0.11291231,35
5,10,neutral,0.11168826,35
5,10,sad,0.11167824,35
5,10,sarcastic,0.10855551,35
5,10,surprise,0.10536562,35
6,1,anger,0.112658866,35
6,1,disgust,0.09238177,35
6,1,fear,0.1185198,35
6,1,happy,0.11395347,35
6,1,neutral,0.11711242,35
6,1,sad,0.12339258,35
6,1,sarcastic,0.10039307,35
6,1,surprise,0.1112375,35
6,2,anger,0.1119977,35
6,2,disgust,0.09604842,35
6,2,fear,0.10157529,35
6,2,happy,0.10190871,35
6,2,neutral,0.111963086,35
6,2,sad,0.10901058,35
6,2,sarcastic,0.0888046,35
6,2,surprise,0.096521996,35
6,3,anger,0.11190434,35
6,3,disgust,0.117857635,35
6,3,fear,0.10865949,35
6,3,happy,0.11357241,35
6,3,neutral,0.12200861,35
6,3,sad,0.17883596,35
6,3,sarcastic,0.10525708,35
6,3,surprise,0.10549566,35
6,4,anger,0.10577468,35
6,4,disgust,0.113817774,35
6,4,fear,0.11567466,35
6,4,happy,0.10420176,35
6,4,neutral,0.12590261,35
6,4,sad,0.19414254,35
6,4,sarcastic,0.10967789,35
6,4,surprise,0.10923843,35
6,5,anger,0.12152669,35
6,5,disgust,0.12017393,35
6,5,fear,0.11078692,35
6,5,happy,0.12890029,35
6,5,neutral,0.12920462,35
6,5,sad,0.16783889,35
6,5,sarcastic,0.10819131,35
6,5,surprise,0.109019905,35
6,6,anger,0.1118181,35
6,6,disgust,0.10221648,35
6,6,fear,0.12500168,35
6,6,happy,0.11957953,35
6,6,neutral,0.12784474,35
6,6,sad,0.16096464,35
6,6,sarcastic,0.10253012,35
6,6,surprise,0.113415554,35
6,7,anger,0.111361355,35
6,7,disgust,0.12121582,35
6,7,fear,0.11687566,35
6,7,happy,0.12371292,35
6,7,neutral,0.12647828,35
6,7,sad,0.16188411,35
6,7,sarcastic,0.11405502,35
6,7,surprise,0.10840101,35
6,8,anger,0.12615241,35
6,8,disgust,0.11840549,35
6,8,fear,0.12287065,35
6,8,happy,0.12961906,35
6,8,neutral,0.1247526,35
6,8,sad,0.17453295,35
6,8,sarcastic,0.12656274,35
6,8,surprise,0.10436494,35
6,9,anger,0.12317611,35
6,9,disgust,0.1149871,35
6,9,fear,0.12326828,35
6,9,happy,0.11612289,35
6,9,neutral,0.111545,35
6,9,sad,0.18506095,35
6,9,sarcastic,0.11925312,35
6,9,surprise,0.10597741,35
6,10,anger,0.123526774,35
6,10,disgust,0.119015254,35
6,10,fear,0.12665087,35
6,10,happy,0.1199276,35
6,10,neutral,0.13031721,35
6,10,sad,0.17692772,35
6,10,sarcastic,0.12015803,35
6,10,surprise,0.10368648,35
7,1,anger,0.1188515,35
7,1,disgust,0.10776543,35
7,1,fear,0.11063183,35
7,1,happy,0.11933008,35
7,1,neutral,0.11031913,35
7,1,sad,0.10967498,35
7,1,sarcastic,0.109173864,35
7,1,surprise,0.09243445,35
7,2,anger,0.11192957,35
7,2,disgust,0.091470994,35
7,2,fear,0.11097969,35
7,2,happy,0.1087342,35
7,2,neutral,0.105951056,35
7,2,sad,0.09939714,35
7,2,sarcastic,0.09499488,35
7,2,surprise,0.10057042,35
7,3,anger,0.10755123,35
7,3,disgust,0.09363294,35
7,3,fear,0.10925198,35
7,3,happy,0.13316616,35
7,3,neutral,0.121268354,35
7,3,sad,0.13279924,35
7,3,sarcastic,0.09635114,35
7,3,surprise,0.117003866,35
7,4,anger,0.106910504,35
7,4,disgust,0.11974719,35
7,4,fear,0.11855346,35
7,4,happy,0.13486351,35
7,4,neutral,0.10749838,35
7,4,sad,0.11179639,35
7,4,sarcastic,0.09089649,35
7,4,surprise,0.113991454,35
7,5,anger,0.10674247,35
7,5,disgust,0.10236763,35
7,5,fear,0.12708125,35
7,5,happy,0.14496382,35
7,5,neutral,0.14061716,35
7,5,sad,0.12904923,35
7,5,sarcastic,0.10326982,35
7,5,surprise,0.11555976,35
7,6,anger,0.097502224,35
7,6,disgust,0.10409987,35
7,6,fear,0.1335702,35
7,6,happy,0.1414861,35
7,6,neutral,0.13467689,35
7,6,sad,0.1405192,35
7,6,sarcastic,0.11423448,35
7,6,surprise,0.10906064,35
7,7,anger,0.10747037,35
7,7,disgust,0.10142629,35
7,7,fear,0.1318986,35
7,7,happy,0.12988628,35
7,7,neutral,0.13454254,35
7,7,sad,0.12943596,35
7,7,sarcastic,0.107568875,35
7,7,surprise,0.10441445,35
7,8,anger,0.11422773,35
7,8,disgust,0.123631775,35
7,8,fear,0.12967354,35
7,8,happy,0.1392921,35
7,8,neutral,0.12716863,35
7,8,sad,0.13588116,35
7,8,sarcastic,0.11974251,35
7,8,surprise,0.13024671,35
7,9,anger,0.118633546,35
7,9,disgust,0.086888604,35
7,9,fear,0.115593076,35
7,9,happy,0.13385539,35
7,9,neutral,0.12667914,35
7,9,sad,0.12261761,35
7,9,sarcastic,0.10409164,35
7,9,surprise,0.10134155,35
7,10,anger,0.10814871,35
7,10,disgust,0.11812151,35
7,10,fear,0.1304619,35
7,10,happy,0.127084,35
7,10,neutral,0.12672071,35
7,10,sad,0.12899062,35
7,10,sarcastic,0.107233256,35
7,10,surprise,0.10848186,35
8,1,anger,0.10497585,35
8,1,disgust,0.10432938,35
8,1,fear,0.11076914,35
8,1,happy,0.120744176,35
8,1,neutral,0.11671737,35
8,1,sad,0.12791601,35
8,1,sarcastic,0.11206214,35
8,1,surprise,0.10957357,35
8,2,anger,0.10246474,35
8,2,disgust,0.090380065,35
8,2,fear,0.09935839,35
8,2,happy,0.10057075,35
8,2,neutral,0.11856474,35
8,2,sad,0.10559575,35
8,2,sarcastic,0.1014094,35
8,2,surprise,0.09955045,35
8,3,anger,0.1051874,35
8,3,disgust,0.12062609,35
8,3,fear,0.11947811,35
8,3,happy,0.13381135,35
8,3,neutral,0.12818314,35
8,3,sad,0.13358936,35
8,3,sarcastic,0.12700339,35
8,3,surprise,0.12457292,35
8,4,anger,0.10644622,35
8,4,disgust,0.1090486,35
8,4,fear,0.1155838,35
8,4,happy,0.1219876,35
8,4,neutral,0.10819342,35
8,4,sad,0.11379223,35
8,4,sarcastic,0.110289164,35
8,4,surprise,0.11547327,35
8,5,anger,0.09955855,35
8,5,disgust,0.12506954,35
8,5,fear,0.123482704,35
8,5,happy,0.121917576,35
8,5,neutral,0.12876122,35
8,5,sad,0.13304867,35
8,5,sarcastic,0.11332428,35
8,5,surprise,0.12940411,35
8,6,anger,0.09315642,35
8,6,disgust,0.12354754,35
8,6,fear,0.12568897,35
8,6,happy,0.12106772,35
8,6,neutral,0.1352639,35
8,6,sad,0.121753894,35
8,6,sarcastic,0.09987763,35
8,6,surprise,0.11271177,35
8,7,anger,0.09772131,35
8,7,disgust,0.09723608,35
8,7,fear,0.12245357,35
8,7,happy,0.1088231,35
8,7,neutral,0.122324266,35
8,7,sad,0.12150158,35
8,7,sarcastic,0.10233791,35
8,7,surprise,0.115180776,35
8,8,anger,0.10533027,35
8,8,disgust,0.11745849,35
8,8,fear,0.13145484,35
8,8,happy,0.12626038,35
8,8,neutral,0.13180408,35
8,8,sad,0.12705453,35
8,8,sarcastic,0.123746164,35
8,8,surprise,0.13571712,35
8,9,anger,0.093293205,35
8,9,disgust,0.109915614,35
8,9,fear,0.112318315,35
8,9,happy,0.1185615,35
8,9,neutral,0.117629014,35
8,9,sad,0.10958789,35
8,9,sarcastic,0.10595369,35
8,9,surprise,0.101817615,35
8,10,anger,0.09800689,35
8,10,disgust,0.10511601,35
8,10,fear,0.117921665,35
8,10,happy,0.12094454,35
8,10,neutral,0.11981247,35
8,10,sad,0.12141701,35
8,10,sarcastic,0.11709312,35
8,10,surprise,0.11494824,35
